label,ra,dec,theta,p0,kPc
J0006+1834,0.101333333333333,18.5830555555556,1.52,0.69374767047,0.70
J0034-0721,0.569130638888889,-7.36483583333333,8.53695958333333,0.0018771818845850,0.72
J0206-4028,2.10035222222222,-40.4678694444444,31.5052833333333,0.630550140847,0.88
J0437-4715,4.62107868055556,-47.2525088508333,69.3161802083333,0.005757451924362137,0.14
J0857-4424,8.96532194444444,-44.4028666666667,134.479829166667,0.326774210079,6.53
J0900-3144,9.01220934444444,-31.7419175,135.183140166667,0.0111096491573889,0.82
J0941-39,9.69388888888889,-39.6833333333333,145.408333333333,0.58677841838,1.29
J1003-4747,10.0559944444444,-47.7838888888889,150.839916666667,0.30707169975,3.44
J1224-6407,12.4061625,-64.1316416666667,186.0924375,0.2164762031209,2.31
J1300+1240,13.0009935277778,12.6823533611111,195.014902916667,0.00621853194840048,0.62
J1359-6038,13.9995055555556,-60.6355555555556,209.992583333333,0.12750077685,5.90
J1453-6413,14.8924269444444,-64.2209972222222,223.386404166667,0.1794847539641,1.84
J1637-4553,16.632975,-45.8909166666667,249.494625,0.1187713928329,3.83
J1703-4851,17.0651111111111,-48.8655,255.976666666667,1.39640107763,4.50
J2053-7200,20.8964277777778,-72.0117222222222,313.446416666667,0.341336231373,1.05
J2317+1439,23.2858992305556,14.6586722222222,349.288488458333,0.0034452510710225,1.89
